gene	min0	min5	min10	min30	min60	min120	min180	min240	autocor.adj	DESeq.adj
YOL071W	180.6872635	277.7736072	267.6357847	412.5366048	450.0373502	238.7307739	277	298.9005079	0.275820001	0.883380609
YOL072W	162.2401345	155.6236911	136.3814535	145.0276395	161.6774929	149.3944151	108	213.5978515	NA	NA
YOL073C	116.831817	129.1970266	168.6823241	243.7439319	160.2776877	151.6465923	261	133.7545652	0.511717318	0.691107904
YOL075C	162.7131378	226.6820557	176.8857198	232.1660952	276.4615137	322.0613271	257	258.6376541	NA	NA
YOL076W	433.2710297	412.2559666	440.4198067	374.1469355	478.7333555	472.206468	208	343.2578892	0.357499731	0.425457822
YOL077C	2222.642542	1594.996019	1021.835477	315.039032	1137.34167	1305.512	1391	934.9171138	0.223942451	0.866674634
YOL077W-A	815.4577022	798.672528	787.013275	793.3864984	692.9035408	722.9488532	508	541.8424732	NA	NA
YOL078W	210.4864719	181.4630964	184.5764033	247.4000909	213.4702828	210.9539229	169	260.6849179	NA	NA
YOL079W	29.32620507	20	20	20	20	20	20	20	NA	NA
YOL080C	964.9267474	426.9374469	200.9831947	132.2310831	299.5582984	514.2471074	475	335.0688342	0.104270525	0.905468333
YOL081W	325.4262756	413.4304851	553.7292098	553.9080853	462.6355964	382.1193835	267	383.520743	0.124133149	0.439677511
YOL082W	174.0652172	259.5685716	327.6231158	569.7514409	398.9444629	197.4408602	307	318.0083029	0.237859644	0.97661544
YOL083C-A	0	0	0	0	0	0	0	0	NA	NA
YOL083W	20	30.53747901	61.01275552	133.4498027	108.4848978	78.82619894	50	88.03234137	0.05092393	0.629244499
YOL084W	20	20	32.8135828	190.7296267	53.89249762	22.52177113	24	47.76948757	0.21023787	0.930464663
YOL085C	20	20	20	20	20	20	20	20	NA	NA
YOL085W-A	20	20	20	20	20	20	20	20	NA	NA
YOL086C	42008.36975	37499.43697	42024.45804	57254.84025	36485.22089	25376.03025	33603	30255.14616	0.162786945	0.188765845
YOL086W-A	281.436968	280.7099032	270.1993459	240.6971328	285.5602471	339.3280183	409	385.5680068	NA	NA
YOL087C	169.8081874	289.5187914	386.5850224	547.2051272	444.4381297	399.3860746	357	528.1940482	0.055561644	0.628912686
YOL088C	883.0971752	886.7614097	916.7294695	1107.206811	1042.154921	969.1868842	1015	932.1874288	NA	NA
YOL089C	227.0415876	229.0310926	199.9577702	312.6015927	272.9620009	305.5453616	232	339.1633617	NA	NA
YOL090W	474.4223175	382.8930061	372.7417921	554.5174451	685.2046126	518.0007359	324	459.2695019	0.271968397	0.818974046
YOL091W	34.05623814	26.42666453	27.68646049	28.03055217	36.39493346	37.53628521	45	60.05307008	0.01796851	0.126710806
YOL092W	1007.970048	1136.933834	915.1913328	641.046541	700.602469	1019.485506	705	746.5688485	NA	NA
YOL093W	611.1202733	468.0455918	383.508749	348.5538227	475.9337452	450.4354225	394	380.1086368	NA	NA
YOL094C	236.0286505	252.521461	218.4154105	242.5252123	250.5651188	240.2322254	330	236.1177528	NA	NA
YOL095C	98.85769128	102.1831028	123.5636477	149.2931583	107.7849952	161.4060264	168	106.4577151	NA	NA
YOL096C	193.9313561	287.1697545	316.3434467	424.7238014	335.9532319	239.4814996	170	274.3333429	0.177042602	0.699119669
YOL097C	2287.443995	2138.21079	1980.094637	1474.041428	1567.081846	2113.292857	1818	1767.47104	NA	NA
YOL097W-A	20	20	20	20	20	20	20	20	NA	NA
YOL098C	659.3666107	530.8823274	613.7165408	566.7046417	760.7940897	578.0587923	379	715.177471	0.809481106	0.752831833
YOL099C	20	20	20	20	20	23.27249683	20	20	NA	NA
YOL100W	100.7497045	98.07228836	196.3687846	165.1365139	142.7801236	144.1393352	79	154.2272027	0.496553483	0.935273973
YOL101C	131.9679228	340.0230836	180.9874176	1683.05185	2301.279638	4919.50554	5750	5154.327708	0.027260829	3.97E-12
YOL102C	281.9099713	219.6349452	249.6908566	250.4468901	324.0548883	370.1077722	342	300.2653504	NA	NA
YOL103W	706.6669415	789.8636398	823.4158434	971.3195687	794.3894129	783.7576352	658	790.2438086	NA	NA
YOL103W-A	0	0	0	0	0	0	0	0	NA	NA
YOL103W-B	20	20	20	20	20	20	20	20	NA	NA
YOL104C	94.1276582	96.31051073	146.6356981	259.5872875	236.5670675	286.0264933	160	188.3482653	0.068183356	0.087088916
YOL105C	209.5404652	342.3721204	318.9070079	365.6158979	422.7411501	382.1193835	360	321.4204092	0.133967169	0.471960577
YOL106W	20	23.49036847	20	20.71823421	31.49561549	20	20	20	NA	NA
YOL107W	152.7800683	183.2248741	221.4916839	309.5547936	402.4439757	354.3425324	485	493.3905644	0.008481415	7.32E-06
YOL108C	149.9420485	210.826057	187.6526766	243.1345721	262.4634624	260.5018194	341	359.6359992	0.014882844	0.002591559
YOL109W	17551.26073	17097.46469	19311.8189	8685.815014	6609.879838	7378.882947	4599	1611.196573	0.011981251	5.55E-07
YOL110W	126.7648864	134.4823595	107.6695686	158.4335558	194.5729135	142.6378838	243	216.3275365	0.160655694	0.121685979
YOL111C	317.8582227	357.64086	319.9324323	307.1173542	292.5592728	321.3106014	414	425.8308606	NA	NA
YOL112W	411.5128776	424.5884101	401.9663893	513.0809767	598.4166943	480.4644507	532	492.0257219	NA	NA
YOL113W	241.7046902	408.1451522	426.5765764	318.695191	244.9658983	242.4844025	155	191.0779503	0.063676959	0.012583196
YOL114C	20	30.53747901	23.58476264	20	42.69405655	34.53338239	22	20.47263753	0.48624034	0.731437764
YOL115W	267.7198721	259.5685716	225.0806695	221.1976182	325.4546934	282.2728648	237	272.9685004	NA	NA
YOL116W	142.3739956	122.149916	150.737396	173.6675515	208.5709648	189.1828775	145	169.2404702	NA	NA
YOL117W	61.49042998	134.4823595	140.9958636	252.2749695	160.9775903	171.1654606	124	174.6998402	0.21535588	0.862643902
YOL118C	43.9893076	20	24.6101871	76.77933856	45.49366682	60.80878204	66	42.99253881	0.274947932	0.509289796
YOL119C	254.0027761	328.8651586	271.7374826	374.7562953	599.1165969	399.3860746	306	399.2164318	0.239288665	0.5974817
YOL120C	17176.16911	15722.69088	14126.76011	10823.4493	11517.59663	12774.34858	13750	11967.62148	NA	NA
YOL121C	3640.706458	3291.000623	3281.35828	2332.629429	3106.16759	3280.671327	2889	2787.008389	NA	NA
YOL122C	297.5190804	399.9235232	386.5850224	521.0026545	335.2533293	310.8004416	262	250.4485991	0.120730132	0.121046544
YOL123W	1666.863656	1665.467125	1506.861248	1279.046283	1699.363431	1563.010916	1573	1454.922107	NA	NA
YOL124C	758.224302	466.2838141	252.2544178	155.3867566	487.8320888	461.6963081	351	350.0821017	0.254184371	0.862643902
YOL125W	469.6922844	438.095372	309.6781877	283.9616807	458.436181	516.4992845	319	386.250428	NA	NA
YOL126C	534.4937375	757.5643831	816.2378722	1046.270828	506.7294581	866.3374627	545	623.7330234	0.777679669	0.816949565
YOL127W	11953.26658	12454.0061	14024.73037	12076.29311	11490.30043	14652.6643	10769	9966.76237	NA	NA
YOL128C	159.4021146	88.08888176	107.1568563	74.34189924	139.9805133	129.8755468	88	98.26866014	0.760569063	0.889956861
YOL129W	388.8087188	432.2227798	639.3521524	1040.17723	749.5956487	602.8327405	671	748.6161123	0.071031745	0.792655601
YOL130W	613.0122866	446.9042601	462.4664326	254.103049	407.3432937	409.1455088	254	397.8515893	0.479640107	0.333564511
YOL131W	20	20	20	20	20	20	20	20	NA	NA
YOL132W	21.28514884	37.58458955	34.86443173	20.10887438	43.39395912	49.54789648	42	64.14759759	0.282940213	0.259787501
YOL133W	76.62653582	58.13866196	119.9746621	149.9025181	166.5768108	107.3537757	140	87.34992012	0.188674052	0.401094231
YOL134C	27.43419184	20	31.78815834	46.31134707	45.49366682	30.02902817	20	51.86401507	0.431296353	0.897058657
YOL135C	169.8081874	183.2248741	191.2416623	177.3237105	150.4790518	158.4031236	156	172.6525765	NA	NA
YOL136C	254.0027761	193.2082807	169.1950363	175.495631	226.068529	201.1944887	174	221.1044853	NA	NA
YOL137W	331.5753186	364.1007113	287.1188495	301.0237559	329.6541088	409.1455088	405	390.3449555	NA	NA
YOL138C	281.436968	254.2832387	280.4535905	224.2444174	219.7694059	295.7859275	249	316.6434604	NA	NA
YOL139C	7711.845926	7022.445654	6866.754913	5418.427607	6516.792796	6821.844474	6262	5573.334356	NA	NA
YOL140W	227.5145909	182.0503556	199.9577702	141.3714805	228.1682367	195.9394088	244	210.1857453	NA	NA
YOL141W	92.70864828	42.86992246	20	25.59311285	58.09191302	44.29281655	20	47.76948757	0.471272271	0.800738977
YOL142W	324.480269	307.723827	250.2035689	231.5567353	301.6580061	391.8788176	301	459.2695019	NA	NA
YOL143C	1098.786683	1184.50183	1156.678794	2037.699271	1225.529394	1602.799379	1346	1179.906343	NA	NA
YOL144W	753.9672722	459.2367036	289.1696984	170.0113925	405.9434885	484.9688049	412	308.4544054	0.168076407	0.870616798
YOL145C	865.1230495	921.9969624	819.8268578	989.6003636	849.6817157	827.2997261	918	767.7239073	NA	NA
YOL146W	303.1951201	258.3940532	267.6357847	270.5557644	326.8544985	363.3512408	223	279.7927129	NA	NA
YOL147C	143.7930055	149.1638398	130.741619	154.1680369	184.7742775	174.9190891	223	179.476789	NA	NA
YOL148C	282.8559779	236.0782031	263.5340869	248.0094507	310.0568369	269.5105278	159	204.043954	NA	NA
YOL149W	512.2625821	559.6580288	605.0004329	583.1573571	623.6131867	646.3748313	568	540.4776307	NA	NA
YOL150C	20	20	20	20	20	20	20	20	NA	NA
YOL151W	590.3081278	456.3004075	445.0342167	430.8173997	580.9191302	278.5192363	163	223.1517491	0.063656864	0.000373448
YOL152W	212.3784851	54.02784748	48.70766197	43.87390775	60.89152328	57.05515352	126	58.00580633	0.399379018	0.845679337
YOL153C	70.47749282	157.972728	161.5043529	268.1183251	153.2786621	129.8755468	112	134.4369864	0.243442135	0.870616798
YOL154W	60.07142006	78.10547516	67.67801453	76.77933856	121.7830466	137.3828039	103	146.0381477	0.061869538	0.017519455
YOL155C	630.513409	980.7228836	1062.339743	966.4446901	1145.040599	834.0562574	884	1135.548962	NA	NA
YOL155W-A	0	0	0	0	0	0	0	0	NA	NA
YOL156W	20	20	20	32.29607098	20	20	37	53.22885757	0.160610138	0.150025987
YOL157C	43.51630429	62.24947644	49.73308643	96.88821294	105.6852875	99.09579296	103	129.6600377	0.054369977	0.020849476
YOL158C	1287.988006	1567.982095	1689.386802	578.2824785	336.6531345	350.5889039	269	424.4660181	0.037178315	1.39E-08
YOL159C	58.17940683	81.04177122	139.4577269	185.8547481	195.9727186	274.014882	357	308.4544054	0.00747705	1.79E-06
YOL159C-A	54.39538037	76.34369753	134.8433168	185.2453883	199.4722314	128.3740954	178	151.4975177	0.054723997	0.31734665
YOL160W	20	20	20	20	20	20	20	20	NA	NA
YOL161C	0	0	0	0	0.699902566	0.750725704	0	2.729685004	NA	NA
YOL162W	20	20	20	20	20	20	20	29.34411379	NA	NA
YOL163W	20	20	20	41.43646843	39.89444629	48.79717077	52	66.87728259	0.013181147	0.001921526
YOL164W	176.4302337	172.066949	142.5340003	166.9645934	212.7703802	253.745288	191	367.8250543	0.162249966	0.023219636
YOL164W-A	20	20	20	20	20	20	20	20	NA	NA
YOL165C	20	20	20	20	20	20	20	20	NA	NA
YOL166C	0	0	0	0	0	0	0	0	NA	NA
YOL166W-A	0	0	0	0	0	0	0	0	NA	NA
YOR001W	480.0983572	345.3084165	261.9959502	160.2616352	299.5582984	279.269962	137	227.9286978	0.276953482	0.238939838
YOR002W	416.2429106	599.5916552	588.0809293	914.6491046	781.0912642	885.1056053	779	977.2272314	0.071205419	0.104019086
YOR003W	87.03260859	58.72592117	87.16107932	148.6837985	103.5855798	133.6291754	143	97.58623888	0.192527836	0.342617259
YOR004W	933.2355258	623.6692829	297.3730941	133.4498027	415.7421245	566.047181	425	377.3789518	0.148552689	0.822771735
YOR005C	163.6591444	179.7013188	197.394209	245.5720114	261.0636573	194.4379574	235	362.3656843	0.096493226	0.067435195
