Gene.name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CD9	216.723968082631	1.40578249644069	0.286630087290442	4.90451825811366	9.36569101689528e-07	1.17857426383956e-05
CD99	510.670607059014	1.08710034026139	0.161700105887258	6.7229414247839	1.78092191643284e-11	8.8678603997616e-10
CDC42EP1	701.630437712286	1.38354688070985	0.282649509105022	4.89492051513089	9.83454694592783e-07	1.22633058708478e-05
CDC42EP2	301.448682031601	1.09572526677328	0.263826806563538	4.15319914244346	3.27859179035062e-05	0.00024462995964767
CDH12	2210.58183852482	-1.62875021947423	0.267964403977693	-6.07823350899181	1.21513718497323e-09	3.65023220859469e-08
CDH18	2805.76202850075	-1.21676494328791	0.22025697966952	-5.5242968695638	3.3080771187586e-08	6.53255984269966e-07
CDH19	701.242447754186	1.16063910117447	0.322787766092189	3.59567252261658	0.000323554615027904	0.00165964395968179
CDH22	572.551930933657	-1.19474099911324	0.245679943471466	-4.86299769623646	1.156211933046e-06	1.41365578161231e-05
CDH7	236.776542442079	-2.05793872603023	0.267897692875139	-7.68180831997454	1.56858422091705e-14	1.58730603258606e-12
CDH9	1120.72366223533	-1.72458707171899	0.252955825839379	-6.8177400777243	9.24837719624239e-12	4.93827110677165e-10
CDK18	1247.4026327846	1.02171508650993	0.315198364010712	3.24149869786511	0.00118902977329694	0.004940379336202
CDKN1C	380.611833007749	1.49226445127978	0.266806342009325	5.59306214403112	2.23099392048149e-08	4.65245921176192e-07
CDR2L	369.30648989518	1.0571657312661	0.253471244157941	4.17075212921338	3.03595948163195e-05	0.000229726513635961
CEBPD	352.857306758665	1.31247900537611	0.172203656400025	7.62166746522068	2.50419478342528e-14	2.37024195039809e-12
CECR2	708.162545167044	1.01460015448288	0.223565691582009	4.53826411066609	5.67191953660264e-06	5.57269266685715e-05
CERCAM	2448.31293603105	1.44438122497284	0.392883233120569	3.67636260142867	0.000236583184542057	0.00127487856425988
CERS2	877.998583861351	1.00014367972405	0.195033672399402	5.12805643979208	2.92748686983101e-07	4.38205072764957e-06
CFAP47	140.881830990208	1.06591079809816	0.165586713447653	6.43717588147628	1.2171686688015e-10	4.82822614867825e-09
CH25H	254.294409890232	2.40950120456757	0.281830127969593	8.54948057514821	1.23643675835272e-17	2.63601114336577e-15
CHADL	541.79220258109	1.35679643303771	0.283750734663036	4.78164905775119	1.73863012714246e-06	2.0104570280106e-05
CHD5	2633.04254428231	-1.08732058973955	0.21204938455261	-5.12767623463574	2.93340342023873e-07	4.38791591996065e-06
CHI3L2	91.8951531592762	2.61246959543215	0.404340254783673	6.46106729301503	1.03967069802496e-10	4.18901446934498e-09
CHRDL1	452.414725991181	-1.00661659013026	0.213518546501914	-4.71442226739414	2.42397516254279e-06	2.66941176500888e-05
CHRM1	195.650590359628	-1.01087139889182	0.280934375499406	-3.59824744513675	0.00032036874280157	0.00164560870717653
CHRM2	59.4774503713235	-1.19905886499554	0.290136637715066	-4.13273854153194	3.58466421703683e-05	0.000262210664696575
CHRM3	2695.68377274404	-1.48765255906118	0.205248999078349	-7.24803806957081	4.22851776152899e-13	3.06448915925463e-11
CHST3	816.243140544317	1.41329318431854	0.222907542297768	6.34026632634356	2.29368314544921e-10	8.33890532962237e-09
CHST6	809.701963091896	1.62429207705907	0.244010300418075	6.65665373255181	2.80132106010289e-11	1.32539418311405e-09
CIT	1416.5110861049	-1.12275072575561	0.186437715629998	-6.02212230482277	1.72144731143995e-09	4.91563868815473e-08
CLCA4	56.5827424524544	1.23792988823659	0.322929881589771	3.83343245333109	0.00012636751179132	0.000748154271077273
CLDN11	3118.88346605998	1.55100451375065	0.305760015644725	5.07262046831142	3.92374578634201e-07	5.63147279230616e-06
CLDND1	5385.18121898325	1.25605363907143	0.255015035447584	4.92541013068855	8.41835951600077e-07	1.0816779204907e-05
CLMN	2535.35980547444	1.21642371062034	0.322082364969166	3.77674732591086	0.000158889775467521	0.000911695996731456
CMTM5	339.727230686448	1.42661254620825	0.28239037645364	5.05191630155448	4.37399375640343e-07	6.18072901524215e-06
CNDP1	1832.13396309699	1.40799750446066	0.296155517643803	4.75425045483742	1.99183994307498e-06	2.25923622468923e-05
CNGB1	171.114289120761	-1.22217739834849	0.384296240840342	-3.18030016550761	0.00147122571980243	0.00589967961671686
CNP	15825.4805923388	1.38129298877074	0.274219224102441	5.03718509631086	4.72427889803665e-07	6.58669462361821e-06
CNTN2	5397.02455515462	1.41137485634017	0.30093369280334	4.68998616669521	2.73223519804715e-06	2.94247928954965e-05
CNTN3	1561.77851258622	-1.27930053212238	0.14447520610954	-8.85481022364779	8.38263102931586e-19	2.21776138280418e-16
CNTN4	1756.26981536334	-1.10962383151918	0.214572011665042	-5.17133536153521	2.3242700233123e-07	3.5616640224644e-06
CNTNAP2	10008.9453681336	-1.07949998639897	0.179432363575851	-6.01619443051383	1.78565083051833e-09	5.08117352538801e-08
COL1A2	146.354535537879	-1.04975391732268	0.301321233828442	-3.48383651555189	0.000494281310280546	0.00237555773527041
COL23A1	140.769533384165	-1.1145928677072	0.193176859994853	-5.76980528484051	7.93631804142793e-09	1.9193128620233e-07
COL4A5	2220.75757700316	1.37305079121928	0.317806437596817	4.32039955389826	1.55746939034909e-05	0.000130935950775941
COL5A1	82.8434728060464	-1.18717892681304	0.174760280669691	-6.79318505477165	1.09684535486458e-11	5.76211175776828e-10
COL9A2	476.639358987025	1.12267486470106	0.22228109221836	5.05069888534731	4.40196515083079e-07	6.20826928369257e-06
COL9A3	287.117384576828	1.02576828942994	0.245182509556309	4.18369275722893	2.86811681482388e-05	0.000219598943991345
COPG2	6042.54297394635	-1.0334182999288	0.200836573479855	-5.14556826987717	2.66712180804307e-07	4.02801429042763e-06
CP	176.193015327265	1.61284638874334	0.281377902246855	5.73195825210318	9.92777110957661e-09	2.32910177131616e-07
CPAMD8	240.767865567988	1.37046397711347	0.27950474144329	4.90318686558499	9.42942044496016e-07	1.18388384515804e-05
CPNE5	573.160227897906	-1.3488574409752	0.210188781764174	-6.41736171480634	1.38656209051776e-10	5.39849591235452e-09
CPNE9	56.692338501269	-1.88651004650619	0.234761476483535	-8.03585867138002	9.29258063578625e-16	1.26742719367224e-13
CPXM2	90.7853094489953	1.18236920106866	0.171423695515577	6.89734985302089	5.29815922581155e-12	2.9755058424449e-10
CRISPLD1	239.961889275571	1.37339458903418	0.20034868094242	6.85502186774511	7.13016113966125e-12	3.86595576458818e-10
CRYAB	3825.15439421827	1.30368240008878	0.23268102477009	5.60287372542275	2.10826818929311e-08	4.43018767164474e-07
CSF1	340.984712696846	1.0110751031367	0.17347979555855	5.82820091458699	5.60281003574788e-09	1.41578947727259e-07
CTNNA3	7612.91961028592	1.19779117614892	0.340406469539948	3.51870861258221	0.000433652722975433	0.00212557592495927
CTNNAL1	166.311574214519	-1.03712378633195	0.123699178854605	-8.38424147949257	5.10538908777072e-17	9.11457227466319e-15
CUX2	717.038808281157	-2.51580187479055	0.423183819481746	-5.94493872159747	2.76560295286611e-09	7.56287362913909e-08
CXCL14	576.589568771247	-1.03723067272916	0.301902558957449	-3.4356471714284	0.000591140290415136	0.0027660024796987
CXCR4	115.806050214509	1.20918102704003	0.16234404740337	7.4482621714834	9.45777352308827e-14	7.72056686964667e-12
CYP26B1	313.728310471497	-1.0924349137913	0.209414680520952	-5.216610941858	1.82226450031522e-07	2.88293272063559e-06
CYP27A1	668.755453830303	1.05243199607817	0.233624957241855	4.50479267499092	6.64377740079794e-06	6.3903069620728e-05
CYP4F26P	101.35230754223	-1.35152642241779	0.256950152832793	-5.25987786937521	1.44151112461982e-07	2.36401365089819e-06
CYP4F3	79.6697783225591	1.81852854035554	0.27026118634789	6.72878175712093	1.71089440589691e-11	8.57751832399321e-10
CYTOR	57.2944920062208	-1.31120592011644	0.182148203133277	-7.19856631886197	6.08489490328906e-13	4.2689523061126e-11
DAAM2	6046.10564981485	1.42583537737876	0.231881980016095	6.14897016697799	7.7987644602996e-10	2.47833674071952e-08
DACH1	339.771520271052	-1.19445114346324	0.138337314709347	-8.63433807409693	5.90680675931159e-18	1.35112051695545e-15
DCLK3	83.0336313195879	-1.11294262127676	0.332366726350181	-3.3485380245439	0.000812391321342353	0.00360098930669292
